Week,Away,Home,Day,Primetime,Location
1,DAL,PHI,Thursday,Yes,PHI
1,KAN,LAC,Friday,Yes,Brazil
1,PIT,NYJ,Sunday,,NYJ
1,ARI,NOR,Sunday,,NOR
1,MIA,IND,Sunday,,IND
1,LVR,NWE,Sunday,,NWE
1,NYG,WAS,Sunday,,WAS
1,CAR,JAX,Sunday,,JAX
1,CIN,CLE,Sunday,,CLE
1,TAM,ATL,Sunday,,ATL
1,SFO,SEA,Sunday,,SEA
1,TEN,DEN,Sunday,,DEN
1,DET,GNB,Sunday,,GNB
1,HOU,LAR,Sunday,,LVR
1,BAL,BUF,Sunday,Yes,BUF
1,MIN,CHI,Monday,Yes,CHI
2,WAS,GNB,Thursday,Yes,GNB
2,BUF,NYJ,Sunday,,NYJ
2,LAR,TEN,Sunday,,TEN
2,JAX,CIN,Sunday,,CIN
2,CLE,BAL,Sunday,,BAL
2,NWE,MIA,Sunday,,MIA
2,SFO,NOR,Sunday,,NOR
2,NYG,DAL,Sunday,,DAL
2,CHI,DET,Sunday,,DET
2,SEA,PIT,Sunday,,PIT
2,DEN,IND,Sunday,,IND
2,CAR,ARI,Sunday,,ARI
2,PHI,KAN,Sunday,,KAN
2,ATL,MIN,Sunday,Yes,MIN
2,TAM,HOU,Monday,Yes,HOU
2,LAC,LVR,Monday,Yes,LVR
4,SEA,ARI,Thursday,Yes,ARI
4,MIN,PIT,Sunday,,Ireland
4,LAC,NYG,Sunday,,NYG
4,TEN,HOU,Sunday,,HOU
4,WAS,ATL,Sunday,,ATL
4,NOR,BUF,Sunday,,BUF
4,PHI,TAM,Sunday,,TAM
4,CLE,DET,Sunday,,DET
4,CAR,NWE,Sunday,,NWE
4,JAX,SFO,Sunday,,SFO
4,IND,LAR,Sunday,,LAR
4,BAL,KAN,Sunday,,KAN
4,CHI,LVR,Sunday,,LVR
4,GNB,DAL,Sunday,Yes,DAL
4,NYJ,MIA,Monday,Yes,MIA
4,CIN,DEN,Monday,Yes,DEN
3,MIA,BUF,Thursday,,BUF
3,NYJ,TAM,Sunday,,TAM
3,CIN,MIN,Sunday,,MIN
3,PIT,NWE,Sunday,,NWE
3,IND,TEN,Sunday,,TEN
3,HOU,JAX,Sunday,,JAX
3,ATL,CAR,Sunday,,CAR
3,LAR,PHI,Sunday,,PHI
3,LVR,WAS,Sunday,,WAS
3,GNB,CLE,Sunday,,CLE
3,DEN,LAC,Sunday,,LAC
3,NOR,SEA,Sunday,,SEA
3,ARI,SFO,Sunday,,SFO
3,DAL,CHI,Sunday,,CHI
3,KAN,NYG,Sunday,Yes,NYG
3,DET,BAL,Monday,Yes,BAL
5,SFO,LAR,Thursday,Yes,LAR
5,DAL,NYJ,Sunday,,NYJ
5,MIN,CLE,Sunday,,London
5,HOU,BAL,Sunday,,BAL
5,NYG,NOR,Sunday,,NOR
5,DEN,PHI,Sunday,,PHI
5,LVR,IND,Sunday,,IND
5,MIA,CAR,Sunday,,CAR
5,TAM,SEA,Sunday,,SEA
5,TEN,ARI,Sunday,,ARI
5,WAS,LAC,Sunday,,LAC
5,DET,CIN,Sunday,,CIN
5,NWE,BUF,Sunday,Yes,BUF
5,KAN,JAX,Monday,Yes,JAX
6,PHI,NYG,Thursday,Yes,NYG
6,DEN,NYJ,Sunday,,London
6,CLE,PIT,Sunday,,PIT
6,LAC,MIA,Sunday,,MIA
6,NWE,NOR,Sunday,,NOR
6,LAR,BAL,Sunday,,BAL
6,ARI,IND,Sunday,,IND
6,DAL,CAR,Sunday,,CAR
6,TEN,LVR,Sunday,,LVR
6,SFO,TAM,Sunday,,TAM
6,CIN,GNB,Sunday,,GNB
6,DET,KAN,Sunday,,KAN
6,BUF,ATL,Monday,Yes,ATL
6,CHI,WAS,Monday,Yes,WAS
7,PIT,CIN,Thursday,Yes,CIN
7,CAR,NYJ,Sunday,,NYJ
7,LAR,JAX,Sunday,,London
7,LVR,KAN,Sunday,,KAN
7,MIA,CLE,Sunday,,CLE
7,NWE,TEN,Sunday,,TEN
7,NOR,CHI,Sunday,,CHI
7,PHI,MIN,Sunday,,MIN
7,IND,LAC,Sunday,,LAC
7,NYG,DEN,Sunday,,DEN
7,GNB,ARI,Sunday,,ARI
7,WAS,DAL,Sunday,,DAL
7,ATL,SFO,Sunday,Yes,SFO
7,TAM,DET,Monday,Yes,DET
7,HOU,SEA,Monday,Yes,SEA
8,MIN,LAC,Thursday,Yes,LAC
8,NYJ,CIN,Sunday,,CIN
8,CHI,BAL,Sunday,,BAL
8,MIA,ATL,Sunday,,ATL
8,BUF,CAR,Sunday,,CAR
8,SFO,HOU,Sunday,,HOU
8,NYG,PHI,Sunday,,PHI
8,CLE,NWE,Sunday,,NWE
8,TAM,NOR,Sunday,,NOR
8,TEN,IND,Sunday,,IND
8,DAL,DEN,Sunday,,DEN
8,GNB,PIT,Sunday,Yes,PIT
8,WAS,KAN,Monday,Yes,KAN